fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
titles01/tt0012349,tt0012349,dervagabundunddaskind,der vagabund und das kind,http://www.imdb.com/title/tt0012349/,8.4,40550.0,3240.0,1921.0,video.movie,1,0,19,96,85,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0015864,tt0015864,goldrausch,goldrausch,http://www.imdb.com/title/tt0015864/,8.3,45319.0,5700.0,1925.0,video.movie,2,1,35,110,122,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0017136,tt0017136,metropolis,metropolis,http://www.imdb.com/title/tt0017136/,8.4,81007.0,9180.0,1927.0,video.movie,3,4,67,428,376,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles01/tt0017925,tt0017925,dergeneral,der general,http://www.imdb.com/title/tt0017925/,8.3,37521.0,6420.0,1926.0,video.movie,1,1,53,123,219,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0021749,tt0021749,lichterdergroßstadt,lichter der gro stadt,http://www.imdb.com/title/tt0021749/,8.7,70057.0,5220.0,1931.0,video.movie,2,0,38,187,186,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0022100,tt0022100,m,m,http://www.imdb.com/title/tt0022100/,8.5,73726.0,7020.0,1931.0,video.movie,1,0,28,4,254,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0025316,tt0025316,esgeschahineinernacht,es geschah in einer nacht,http://www.imdb.com/title/tt0025316/,8.3,46503.0,6300.0,1934.0,video.movie,4,1,40,183,211,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0027977,tt0027977,modernezeiten,moderne zeiten,http://www.imdb.com/title/tt0027977/,8.6,90847.0,5220.0,1936.0,video.movie,3,1,44,27,180,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0031381,tt0031381,vomwindeverweht,vom winde verweht,http://www.imdb.com/title/tt0031381/,8.2,160414.0,14280.0,1939.0,video.movie,10,6,143,1263,653,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
titles01/tt0031679,tt0031679,mrsmithgehtnachwashington,mr smith geht nach washington,http://www.imdb.com/title/tt0031679/,8.4,58169.0,7740.0,1939.0,video.movie,4,10,34,110,226,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0032138,tt0032138,derzauberervonoz,der zauberer von oz,http://www.imdb.com/title/tt0032138/,8.1,209506.0,6120.0,1939.0,video.movie,6,12,126,2363,477,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0032551,tt0032551,früchtedeszorns,fr chte des zorns,http://www.imdb.com/title/tt0032551/,8.2,45737.0,7740.0,1940.0,video.movie,6,5,20,135,257,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0032553,tt0032553,dergroßediktator,der gro e diktator,http://www.imdb.com/title/tt0032553/,8.5,87969.0,7500.0,1940.0,video.movie,5,1,37,181,173,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0032976,tt0032976,rebecca,rebecca,http://www.imdb.com/title/tt0032976/,8.3,65670.0,7800.0,1940.0,video.movie,2,9,47,328,241,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
titles01/tt0033467,tt0033467,citizenkane,citizen kane,http://www.imdb.com/title/tt0033467/,8.5,228617.0,7140.0,1941.0,video.movie,7,10,103,1439,1101,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
titles01/tt0033870,tt0033870,diespurdesfalken,die spur des falken,http://www.imdb.com/title/tt0033870/,8.2,86012.0,6000.0,1941.0,video.movie,1,0,67,332,294,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0034583,tt0034583,casablanca,casablanca,http://www.imdb.com/title/tt0034583/,8.6,296802.0,6120.0,1942.0,video.movie,5,6,153,382,960,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
titles01/tt0036775,tt0036775,frauohnegewissen,frau ohne gewissen,http://www.imdb.com/title/tt0036775/,8.5,71266.0,6420.0,1944.0,video.movie,3,0,43,231,260,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0036868,tt0036868,diebestenjahreunsereslebens,die besten jahre unseres lebens,http://www.imdb.com/title/tt0036868/,8.3,30002.0,10320.0,1946.0,video.movie,13,1,15,129,218,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
titles01/tt0038355,tt0038355,toteschlafenfest,tote schlafen fest,http://www.imdb.com/title/tt0038355/,8.1,50020.0,6840.0,1946.0,video.movie,1,0,52,171,215,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
titles01/tt0038650,tt0038650,itsawonderfullife,it s a wonderful life,http://www.imdb.com/title/tt0038650/,8.7,197764.0,7800.0,1946.0,video.movie,6,0,65,531,626,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0038787,tt0038787,berüchtigt,ber chtigt,http://www.imdb.com/title/tt0038787/,8.2,56306.0,6060.0,1946.0,video.movie,2,1,56,102,260,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0040522,tt0040522,fahrraddiebe,fahrraddiebe,http://www.imdb.com/title/tt0040522/,8.4,63797.0,5280.0,1948.0,video.movie,17,0,17,239,202,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0040746,tt0040746,cocktailfüreineleiche,cocktail f r eine leiche,http://www.imdb.com/title/tt0040746/,8.1,72370.0,4800.0,1948.0,video.movie,0,0,42,199,283,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0040897,tt0040897,derschatzdersierramadre,der schatz der sierra madre,http://www.imdb.com/title/tt0040897/,8.4,59298.0,7560.0,1948.0,video.movie,12,4,41,149,190,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0041959,tt0041959,derdrittemann,der dritte mann,http://www.imdb.com/title/tt0041959/,8.4,85964.0,6240.0,1949.0,video.movie,3,4,62,338,364,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
titles01/tt0042192,tt0042192,allesübereva,alles ber eva,http://www.imdb.com/title/tt0042192/,8.4,61738.0,8280.0,1950.0,video.movie,15,15,42,253,276,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0042876,tt0042876,rashomon,rashomon,http://www.imdb.com/title/tt0042876/,8.4,74219.0,5280.0,1950.0,video.movie,9,2,19,102,238,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0043014,tt0043014,boulevardderdämmerung,boulevard der d mmerung,http://www.imdb.com/title/tt0043014/,8.6,102072.0,6600.0,1950.0,video.movie,17,13,58,1033,394,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0044079,tt0044079,derfremdeimzug,der fremde im zug,http://www.imdb.com/title/tt0044079/,8.1,69387.0,5520.0,1951.0,video.movie,1,1,42,326,245,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0044706,tt0044706,zwölfuhrmittags,zw lf uhr mittags,http://www.imdb.com/title/tt0044706/,8.2,60817.0,5100.0,1952.0,video.movie,12,10,48,361,309,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles01/tt0044741,tt0044741,ikirueinmalrichtigleben,ikiru einmal richtig leben,http://www.imdb.com/title/tt0044741/,8.4,29478.0,8580.0,1952.0,video.movie,5,0,13,57,136,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0045152,tt0045152,dusollstmeinglückssternsein,du sollst mein gl cksstern sein,http://www.imdb.com/title/tt0045152/,8.4,108115.0,6180.0,1952.0,video.movie,4,7,61,333,441,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0046250,tt0046250,einherzundeinekrone,ein herz und eine krone,http://www.imdb.com/title/tt0046250/,8.1,69739.0,7080.0,1953.0,video.movie,7,14,50,136,193,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0046359,tt0046359,stalag,stalag,http://www.imdb.com/title/tt0046359/,8.1,36013.0,6960.0,1953.0,video.movie,1,4,23,67,130,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0046911,tt0046911,dieteuflischen,die teuflischen,http://www.imdb.com/title/tt0046911/,8.3,29309.0,6840.0,1955.0,video.movie,4,0,20,77,135,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
titles01/tt0046912,tt0046912,beianrufmord,bei anruf mord,http://www.imdb.com/title/tt0046912/,8.2,72579.0,6300.0,1954.0,video.movie,3,2,51,232,223,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0047296,tt0047296,diefaustimnacken,die faust im nacken,http://www.imdb.com/title/tt0047296/,8.3,74023.0,6480.0,1954.0,video.movie,21,7,45,352,255,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0047396,tt0047396,dasfensterzumhof,das fenster zum hof,http://www.imdb.com/title/tt0047396/,8.6,229323.0,6720.0,1954.0,video.movie,6,6,98,711,580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
titles01/tt0047478,tt0047478,diesiebensamurai,die sieben samurai,http://www.imdb.com/title/tt0047478/,8.8,172690.0,12420.0,1954.0,video.movie,4,5,33,576,548,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0047528,tt0047528,dasliedderstraße,das lied der stra e,http://www.imdb.com/title/tt0047528/,8.2,35143.0,6480.0,1954.0,video.movie,10,4,25,108,108,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0048424,tt0048424,dienachtdesjägers,die nacht des j gers,http://www.imdb.com/title/tt0048424/,8.1,47739.0,5580.0,1955.0,video.movie,1,0,42,152,322,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0049406,tt0049406,killing,killing,http://www.imdb.com/title/tt0049406/,8.1,47740.0,5100.0,1956.0,video.movie,0,0,21,59,304,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0050083,tt0050083,diezwölfgeschworenen,die zw lf geschworenen,http://www.imdb.com/title/tt0050083/,8.9,293725.0,5760.0,1957.0,video.movie,16,6,31,68,726,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0050212,tt0050212,diebrückeamkwai,die br cke am kwai,http://www.imdb.com/title/tt0050212/,8.3,109972.0,9660.0,1957.0,video.movie,24,5,59,160,243,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0050825,tt0050825,wegezumruhm,wege zum ruhm,http://www.imdb.com/title/tt0050825/,8.5,84945.0,5280.0,1957.0,video.movie,3,2,26,208,313,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0050976,tt0050976,dassiebentesiegel,das siebente siegel,http://www.imdb.com/title/tt0050976/,8.3,80684.0,5760.0,1957.0,video.movie,7,1,28,193,236,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0050986,tt0050986,wildeerdbeeren,wilde erdbeeren,http://www.imdb.com/title/tt0050986/,8.3,45457.0,5460.0,1957.0,video.movie,12,2,29,107,130,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0051201,tt0051201,zeuginderanklage,zeugin der anklage,http://www.imdb.com/title/tt0051201/,8.5,40385.0,6960.0,1957.0,video.movie,3,8,23,32,172,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
titles01/tt0052311,tt0052311,imzeichendesbösen,im zeichen des b sen,http://www.imdb.com/title/tt0052311/,8.2,55474.0,5700.0,1958.0,video.movie,3,1,28,211,245,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0052357,tt0052357,vertigoausdemreichdertoten,vertigo aus dem reich der toten,http://www.imdb.com/title/tt0052357/,8.5,176267.0,7680.0,1958.0,video.movie,6,3,106,671,618,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
titles01/tt0052618,tt0052618,benhur,ben hur,http://www.imdb.com/title/tt0052618/,8.2,115402.0,12720.0,1959.0,video.movie,20,5,79,193,340,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0053125,tt0053125,derunsichtbaredritte,der unsichtbare dritte,http://www.imdb.com/title/tt0053125/,8.5,166029.0,8160.0,1959.0,video.movie,7,4,85,644,466,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
titles01/tt0053198,tt0053198,sieküßtenundsieschlugenihn,sie k ten und sie schlugen ihn,http://www.imdb.com/title/tt0053198/,8.2,49996.0,5940.0,1959.0,video.movie,6,3,36,178,159,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0053291,tt0053291,manchemögensheiß,manche m gen s hei,http://www.imdb.com/title/tt0053291/,8.4,129721.0,7200.0,1959.0,video.movie,12,8,96,546,329,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0053604,tt0053604,dasappartement,das appartement,http://www.imdb.com/title/tt0053604/,8.4,77601.0,7500.0,1960.0,video.movie,18,8,36,211,221,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0053779,tt0053779,dassüßeleben,das s e leben,http://www.imdb.com/title/tt0053779/,8.1,35788.0,10440.0,1960.0,video.movie,8,12,51,350,149,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0054215,tt0054215,psycho,psycho,http://www.imdb.com/title/tt0054215/,8.6,296676.0,6540.0,1960.0,video.movie,6,5,156,2059,885,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
titles01/tt0054997,tt0054997,haiedergroßstadt,haie der gro stadt,http://www.imdb.com/title/tt0054997/,8.1,47138.0,8040.0,1961.0,video.movie,15,14,29,130,145,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
titles01/tt0055031,tt0055031,dasurteilvonnürnberg,das urteil von n rnberg,http://www.imdb.com/title/tt0055031/,8.3,28790.0,11160.0,1961.0,video.movie,17,21,30,98,156,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0055630,tt0055630,dieleibwache,die leibwache,http://www.imdb.com/title/tt0055630/,8.4,53475.0,6600.0,1961.0,video.movie,4,1,23,144,139,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0056172,tt0056172,lawrencevonarabien,lawrence von arabien,http://www.imdb.com/title/tt0056172/,8.4,140727.0,12960.0,1962.0,video.movie,20,13,91,929,509,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0056592,tt0056592,werdienachtigallstört,wer die nachtigall st rt,http://www.imdb.com/title/tt0056592/,8.4,154978.0,7740.0,1962.0,video.movie,12,12,49,524,407,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
titles01/tt0056801,tt0056801,achteinhalb,achteinhalb,http://www.imdb.com/title/tt0056801/,8.2,58426.0,8280.0,1963.0,video.movie,14,8,41,22,202,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0057115,tt0057115,gesprengteketten,gesprengte ketten,http://www.imdb.com/title/tt0057115/,8.3,120161.0,10320.0,1963.0,video.movie,4,4,164,309,285,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0058461,tt0058461,füreinehandvolldollar,f r eine handvoll dollar,http://www.imdb.com/title/tt0058461/,8.1,92532.0,5940.0,1964.0,video.movie,1,1,71,206,215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles01/tt0058946,tt0058946,schlachtumalgier,schlacht um algier,http://www.imdb.com/title/tt0058946/,8.2,25876.0,7260.0,1966.0,video.movie,9,3,11,129,236,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0059578,tt0059578,füreinpaardollarmehr,f r ein paar dollar mehr,http://www.imdb.com/title/tt0059578/,8.4,104305.0,7920.0,1965.0,video.movie,0,0,56,102,201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles01/tt0060196,tt0060196,zweiglorreichehalunken,zwei glorreiche halunken,http://www.imdb.com/title/tt0060196/,9.0,354997.0,9660.0,1966.0,video.movie,1,0,189,11,684,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles01/tt0060827,tt0060827,persona,persona,http://www.imdb.com/title/tt0060827/,8.2,40639.0,5100.0,1966.0,video.movie,8,1,21,92,149,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0061184,tt0061184,werhatangstvorvirginiawoolf,wer hat angst vor virginia woolf,http://www.imdb.com/title/tt0061184/,8.2,41330.0,7860.0,1966.0,video.movie,20,18,72,10,213,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0061512,tt0061512,derunbeugsame,der unbeugsame,http://www.imdb.com/title/tt0061512/,8.2,90643.0,7560.0,1967.0,video.movie,5,6,42,229,249,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0061722,tt0061722,diereifeprüfung,die reifepr fung,http://www.imdb.com/title/tt0061722/,8.1,161502.0,6360.0,1967.0,video.movie,20,13,94,329,573,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0062622,tt0062622,odysseeimweltraum,odyssee im weltraum,http://www.imdb.com/title/tt0062622/,8.3,295641.0,9600.0,1968.0,video.movie,12,6,174,28,1568,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
titles01/tt0064115,tt0064115,butchcassidyundsundancekid,butch cassidy und sundance kid,http://www.imdb.com/title/tt0064115/,8.2,111087.0,6600.0,1969.0,video.movie,18,12,51,508,281,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0064116,tt0064116,spielmirdasliedvomtod,spiel mir das lied vom tod,http://www.imdb.com/title/tt0064116/,8.7,158065.0,10500.0,1968.0,video.movie,5,4,61,277,518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles01/tt0066921,tt0066921,uhrwerkorange,uhrwerk orange,http://www.imdb.com/title/tt0066921/,8.4,386962.0,8160.0,1971.0,video.movie,11,13,80,1076,1250,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles01/tt0068646,tt0068646,derpate,der pate,http://www.imdb.com/title/tt0068646/,9.2,821410.0,10500.0,1972.0,video.movie,29,19,148,1307,1751,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0070735,tt0070735,derclou,der clou,http://www.imdb.com/title/tt0070735/,8.4,127640.0,7740.0,1973.0,video.movie,10,6,67,275,224,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0071315,tt0071315,chinatown,chinatown,http://www.imdb.com/title/tt0071315/,8.3,159935.0,7800.0,1974.0,video.movie,20,22,73,547,412,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
titles01/tt0071562,tt0071562,derpate,der pate,http://www.imdb.com/title/tt0071562/,9.1,541351.0,12000.0,1974.0,video.movie,11,16,73,197,565,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0071853,tt0071853,dieritterderkokosnuß,die ritter der kokosnu,http://www.imdb.com/title/tt0071853/,8.4,284563.0,5460.0,1975.0,video.movie,0,0,48,260,613,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0072684,tt0072684,barrylyndon,barry lyndon,http://www.imdb.com/title/tt0072684/,8.1,74677.0,11040.0,1975.0,video.movie,15,11,34,253,341,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0072890,tt0072890,hundstage,hundstage,http://www.imdb.com/title/tt0072890/,8.1,137696.0,7500.0,1975.0,video.movie,13,17,35,438,228,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0073195,tt0073195,derweißehai,der wei e hai,http://www.imdb.com/title/tt0073195/,8.1,290528.0,7440.0,1975.0,video.movie,9,14,95,1497,880,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0073486,tt0073486,einerflogüberdaskuckucksnest,einer flog ber das kuckucksnest,http://www.imdb.com/title/tt0073486/,8.8,492141.0,7980.0,1975.0,video.movie,30,12,59,397,675,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0074958,tt0074958,network,network,http://www.imdb.com/title/tt0074958/,8.2,75434.0,7260.0,1976.0,video.movie,22,19,49,366,295,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0075148,tt0075148,rocky,rocky,http://www.imdb.com/title/tt0075148/,8.1,243942.0,7140.0,1976.0,video.movie,17,20,105,1161,479,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
titles01/tt0075314,tt0075314,taxidriver,taxi driver,http://www.imdb.com/title/tt0075314/,8.4,351181.0,6780.0,1976.0,video.movie,26,9,80,1830,768,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0075686,tt0075686,derstadtneurotiker,der stadtneurotiker,http://www.imdb.com/title/tt0075686/,8.2,138617.0,5580.0,1977.0,video.movie,26,7,41,37,408,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0076759,tt0076759,kriegdersterne,krieg der sterne,http://www.imdb.com/title/tt0076759/,8.7,631839.0,7260.0,1977.0,video.movie,35,26,190,23660,1325,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0077416,tt0077416,diedurchdiehöllegehen,die durch die h lle gehen,http://www.imdb.com/title/tt0077416/,8.2,174642.0,10920.0,1978.0,video.movie,21,17,39,488,949,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0078748,tt0078748,aliendasunheimlichewesenauseinerfremdenwelt,alien das unheimliche wesen aus einer fremden welt,http://www.imdb.com/title/tt0078748/,8.5,391737.0,7020.0,1979.0,video.movie,12,18,126,5671,991,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
titles01/tt0078788,tt0078788,apocalypsenow,apocalypse now,http://www.imdb.com/title/tt0078788/,8.5,333178.0,9180.0,1979.0,video.movie,17,30,76,1356,896,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0079470,tt0079470,daslebendesbrian,das leben des brian,http://www.imdb.com/title/tt0079470/,8.2,198548.0,5640.0,1979.0,video.movie,0,0,46,275,298,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
